name,ordinal,branch,location
아메리카테이퍼,기제목,테이퍼과,남미관
노란뺨볏긴팔원숭이,영장목,긴팔원숭이과,동양관
짧은코가시두더지,단공목,가시두더지과,남미관
북극여우,식육목,개과,어린이동물원
셋틀랜드포니,기제목,말과,어린이동물원
알파카,우제목,낙타과,어린이동물원
아드바크,관치목,흙돼지과,야행관
네이키드몰렛,설치목,두더지과,야행관
오타리아,식육목,물개과,해양관
산양,우제목,소과,종보전센터
유럽비버,설치목,-,동양관
미어캣,식육목,몽구스과,어린이동물원
여섯띠아르마딜로,빈치목,아르마딜로과,남미관
큰개미핥개,빈치목,개미핥기과,남미관
쌍봉낙타,우제목,낙타과,낙타사
삵,식육목,고양이과,곰사
샤망,영장목,긴팔원숭이과,동양관
맨드릴,영장목,긴꼬리원숭이과,유인원관
점박이물범,식육목,물범과,해양관
불개,식육목,개과,어린이동물원
미니피그,우제목,멧돼지과,어린이동물원
스라소니,식육목,고양이과,맹수사
붉은코코아티,식육목,아메리카너구리과,남미관
아프리카포큐파인,설치목,포큐파인과,야행관
사막여우,식육목,개과,제1아프리카관
보더콜리,식육목,개과,어린이동물원
무풀론,우제목,소과,낙타사
말승냥이,식육목,개과,늑대사
라쿤,식육목,아메리카너구리과,야행관
아프리카물소,우제목,소과,대동물관
양(코리델),우제목,소과,어린이동물원
풍산개,식육목,개과,어린이동물원
토끼(집토끼),토끼목,토끼과,어린이동물원
목화머리타마린,영장목,마모셋원숭이과,어린이동물원
아시아물소,우제목,소과,대동물관
바바리양,우제목,소과,제2아프리카관
흰오릭스,우제목,소과,제2아프리카관
겜스복,우제목,소과,제1아프리카관
그물무늬기린,우제목,기린과,제1아프리카관
킹카쥬,식육목,아메리카너구리과,야행관
줄무늬하이에나,식육목,하이에나과,동양관
점박이하이에나,식육목,하이에나과,제3아프리카관
표범,식육목,고양이과,맹수사
시베리아호랑이,식육목,고양이과,맹수사
재규어,식육목,고양이과,재규어사
두발가락나무늘보,빈치목,나무늘보과,남미관
레서판다,식육목,레서판다과,레서판다사
카피바라,설치목,카피바라과,남미관
치타,식육목,고양이과,제3아프리카관
사자,식육목,고양이과,제3아프리카관
캘리포니아바다사자,식육목,물개과,해양관
참물범,식육목,물범과,해양관
에조불곰,식육목,곰과,곰사
남아메리카물개,식육목,물개과,해양관
수달,식육목,족제비과,맹수사
말레이곰,식육목,곰과,곰사
반달가슴곰,식육목,곰과,곰사
유럽불곰,식육목,곰과,곰사
오소리,식육목,족제비과,맹수사
노랑목도리담비,식육목,족제비과,맹수사
기니피그,설치목,기니픽과,동물교실
코요테,식육목,개과,늑대사
진돗개,식육목,개과,어린이동물원
여우,식육목,개과,종보전센터
붉은캥거루,캥거루목,캥거루과,호주관
동부회색캥거루,캥거루목,캥거루과,호주관
왈라루,캥거루목,캥거루과,호주관
아시아코끼리,장비목,코끼리과,대동물관
슬로우로리스,영장목,로리스과,남미관
아누비스개코원숭이,영장목,긴꼬리원숭이과,유인원관
침팬지,영장목,성성이과,유인원관
로랜드고릴라,영장목,성성이과,유인원관
오랑우탄,영장목,성성이과,유인원관
흰코뿔소,기제목,코뿔소과,대동물관
나귀,기제목,말과,어린이동물원
그랜트얼룩말,기제목,말과,제1아프리카관
망토개코원숭이,영장목,긴꼬리원숭이과,유인원관
흰손기번,영장목,긴팔원숭이과,동양관
단봉낙타,우제목,낙타과,낙타사
붉은사슴,우제목,사슴과,사슴사
바라싱가,우제목,사슴과,사슴사
돼지사슴,우제목,사슴과,사슴사
물사슴,우제목,사슴과,사슴사
에조사슴,우제목,사슴과,사슴사
코먼마모셋,영장목,마모셋원숭이과,어린이동물원
제프로이거미원숭이,영장목,꼬리감기원숭이과,남미관
갈색꼬리감기 원숭이,영장목,꼬리감기원숭이과,남미관
다람쥐원숭이,영장목,꼬리감기원숭이과,남미관
브라자원숭이,영장목,긴꼬리원숭이과,유인원관
사바나원숭이 (그리벳원숭이),영장목,긴꼬리원숭이과,유인원관
히말라야원숭이,영장목,긴꼬리원숭이과,동양관
토쿠원숭이,영장목,긴꼬리원숭이과,동양관
필리핀원숭이,영장목,긴꼬리원숭이과,동양관
돼지꼬리원숭이,영장목,긴꼬리원숭이과,동양관
일본원숭이,영장목,긴꼬리원숭이과,어린이동물원
검정짧은꼬리원숭이,영장목,긴꼬리원숭이과,동양관
세이블앤틸롭,우제목,소과,제3아프리카관
일런드,우제목,소과,제3아프리카관
큰뿔소,우제목,소과,대동물관
검은꼬리프레리독,설치목,다람쥐과,제1아프리카관
이집트과일박쥐,박쥐목,박쥐과,야행관
야쿠사슴,우제목,사슴과,사슴사
피그미하마,우제목,하마과,제2아프리카관
하마,우제목,하마과,제2아프리카관
히말라야타알,우제목,소과,낙타사
아메리카들소,우제목,소과,대동물관
돌산양,우제목,소과,제2아프리카관
큰뿔양,우제목,소과,사슴사
